rank;name;artist;date_added;popularity
6;Kevin sam w domu;Blacha 2115;2023-12-20 09:33:47;54
7;Jingle Bell Rock;Bobby Helms;2023-12-20 09:33:47;94
8;BFF;bambi;2023-12-20 09:33:47;75
9;Merry Christmas Everyone;Shakin' Stevens;2023-12-20 09:33:47;91
10;Fluid;ReTo;2023-12-20 09:33:47;74
11;Santa Tell Me;Ariana Grande;2023-12-20 09:33:47;96
12;Stan;Gibbs;2023-12-20 09:33:47;66
13;It's Beginning to Look a Lot like Christmas;Michael Bublé;2023-12-20 09:33:47;87
14;Driving Home for Christmas;Chris Rea;2023-12-20 09:33:47;75
15;Holly Jolly Christmas;Michael Bublé;2023-12-20 09:33:47;83
16;It's the Most Wonderful Time of the Year;Andy Williams;2023-12-20 09:33:47;79
17;greedy;Tate McRae;2023-12-20 09:33:47;99
18;Let It Snow! Let It Snow! Let It Snow!;Dean Martin;2023-12-20 09:33:47;95
19;Jolie Jolie;Blacha 2115;2023-12-20 09:33:47;72
20;Sleigh Ride;The Ronettes;2023-12-20 09:33:47;83
21;Dzięki, że jesteś;Lanberry;2023-12-20 09:33:47;69
22;Mam Cię;Paluch;2023-12-20 09:33:47;71
23;Autumn Dance;L.U.C.;2023-12-20 09:33:47;50
24;Nicea;PRO8L3M;2023-12-20 09:33:47;66
25;Miyabi;PRO8L3M;2023-12-20 09:33:47;68
26;Underneath the Tree;Kelly Clarkson;2023-12-20 09:33:47;86
27;Ne Rozumiju;Vixen;2023-12-20 09:33:47;68
28;Kto Wie?;De Su;2023-12-20 09:33:47;68
29;Całkiem Nowa Bajka;Kleks;2023-12-20 09:33:47;63
30;Dzień jeden w roku;Czerwone Gitary;2023-12-20 09:33:47;66
31;Feliz Navidad;José Feliciano;2023-12-20 09:33:47;88
32;Nim Zajdzie Słońce;Smolasty;2023-12-20 09:33:47;72
33;Explosion Ech poleczko - DNSQ Remix;Kalwi & Remi;2023-12-20 09:33:47;70
34;CEO;Asster;2023-12-20 09:33:47;61
35;Byłem człowiekiem;PRO8L3M;2023-12-20 09:33:47;68
36;Strangers;Kenya Grace;2023-12-20 09:33:47;96
37;JEREMY SOCHAN;Oki;2023-12-20 09:33:47;72
38;Coraz Bliżej Święta;Margaret;2023-12-20 09:33:47;67
39;Overdrive (feat. Norma Jean Martine);Ofenbach;2023-12-20 09:33:47;83
40;Kulig;Kaz Bałagane;2023-12-20 09:33:47;68
41;Let It Snow! Let It Snow! Let It Snow! (with The B. Swanson Quartet);Frank Sinatra;2023-12-20 09:33:47;90
42;5 INFLUENCEREK;Zeamsone;2023-12-20 09:33:47;69
43;Do They Know It's Christmas? - 1984 Version;Band Aid;2023-12-20 09:33:47;89
44;My Only Wish (This Year);Britney Spears;2023-12-20 09:33:47;87
45;NIE MA CIĘ;Fukaj;2023-12-20 09:33:47;68
46;Ciapakwybujany;GM2L;2023-12-20 09:33:47;64
47;Tyrka;Qry;2023-12-20 09:33:47;32
48;ITALODISCO;The Kolors;2023-12-20 09:33:47;79
49;Happy Xmas (War Is Over) - Remastered 2010;John Lennon;2023-12-20 09:33:47;91
50;Thank God It's Christmas - 2011 Remaster;Queen;2023-12-20 09:33:47;74
1;HIPNOZA;NIKOŚ;2023-12-21 09:51:09;72
2;Last Christmas - Single Version;Wham!;2023-12-21 09:51:09;89
3;All I Want for Christmas Is You;Mariah Carey;2023-12-21 09:51:09;100
4;Snowman;Sia;2023-12-21 09:51:09;94
